Date,Open,High,Low,Close,Volume
2022-05-09,387.30,392.30,386.67,391.77,72942620
2022-05-10,392.01,395.84,391.05,395.20,77407140
2022-05-11,395.27,397.82,395.27,397.00,67237335
2022-05-12,396.59,397.77,395.81,397.19,67985952
2022-05-13,396.97,398.43,396.75,397.33,71826735
2022-05-16,397.11,397.96,392.80,393.92,65306089
2022-05-17,394.61,396.25,393.95,395.69,79211404
2022-05-18,395.70,396.56,391.54,392.11,78551206
2022-05-19,392.41,393.97,391.50,392.79,70119115
2022-05-20,392.77,395.84,392.59,395.55,79134408
2022-05-23,395.30,396.15,392.13,393.09,63910938
2022-05-24,392.40,392.96,392.32,392.87,75939875
2022-05-25,393.31,393.46,390.75,391.04,76913991
2022-05-26,390.65,391.64,388.92,389.74,77839268
2022-05-27,389.07,392.17,388.49,392.08,73265783
2022-05-30,391.43,396.11,390.39,395.08,73165523
2022-05-31,395.83,396.04,393.06,393.39,68909807
2022-06-01,392.98,393.70,389.14,389.98,75162611
2022-06-02,390.11,393.86,389.18,393.66,68874210
2022-06-03,394.32,398.12,393.15,397.75,71453230
2022-06-06,397.38,398.90,397.03,397.78,68395068
2022-06-07,397.78,397.95,395.08,395.19,71777378
2022-06-08,394.54,398.32,394.32,397.53,77312978
2022-06-09,397.74,398.86,395.18,395.71,69153167
2022-06-10,395.80,398.54,394.72,398.11,61976363
2022-06-13,398.22,398.41,396.91,398.08,72697178
2022-06-14,398.77,401.08,398.15,400.04,67127075
2022-06-15,399.91,402.80,399.71,402.76,73115110
2022-06-16,403.17,403.44,401.05,401.90,69423578
2022-06-17,402.01,405.75,401.29,404.67,61834394
2022-06-20,405.37,408.57,404.73,407.36,71874154
2022-06-21,407.71,410.83,407.07,410.50,79398888
2022-06-22,411.32,415.77,410.57,414.56,62007303
2022-06-23,414.07,418.91,413.38,418.83,75581722
2022-06-24,419.01,420.04,417.25,418.20,73598655
2022-06-27,418.55,419.15,413.85,414.29,60195766
2022-06-28,414.13,418.01,414.04,417.37,79703421
2022-06-29,417.77,418.29,417.70,418.28,67292160
2022-06-30,418.60,419.79,417.70,418.20,71110611
2022-07-01,418.91,419.46,414.09,414.39,63835776
2022-07-04,414.49,414.62,411.65,411.84,66639882
2022-07-05,412.33,412.56,409.36,410.02,64532415
2022-07-06,410.16,410.32,408.58,409.48,67444146
2022-07-07,409.64,410.50,405.12,405.73,64755973
2022-07-08,405.33,407.91,404.97,406.97,74160671
2022-07-11,406.38,407.42,405.79,406.98,70984768
2022-07-12,406.68,406.95,404.41,405.13,60870661
2022-07-13,405.40,406.24,401.43,401.73,70304637
2022-07-14,402.03,405.77,401.93,404.84,70881958
2022-07-15,404.23,404.78,403.06,404.26,74872361
2022-07-18,404.59,405.75,402.56,403.22,73841697
2022-07-19,403.91,404.03,402.52,402.84,61256409
2022-07-20,403.00,403.95,402.09,403.52,69115440
2022-07-21,402.96,408.00,402.28,407.31,75782930
2022-07-22,406.70,407.03,405.72,406.85,64236503
2022-07-25,406.44,407.75,405.30,407.31,72913365
2022-07-26,407.23,410.00,406.67,409.69,67033869
2022-07-27,410.01,411.85,409.00,410.96,71765973
2022-07-28,411.26,411.80,406.06,407.15,73289277
2022-07-29,406.99,409.46,406.39,408.38,73667029
2022-08-01,408.16,408.26,407.56,407.62,75953762
2022-08-02,407.16,408.23,405.53,406.67,78578355
2022-08-03,406.23,406.80,404.28,404.59,74571099
2022-08-04,404.41,404.47,403.10,403.62,67896320
2022-08-05,404.00,404.36,401.18,401.75,72110309
2022-08-08,402.07,404.13,402.05,403.05,62953349
2022-08-09,403.74,406.79,402.63,405.67,78401556
2022-08-10,406.15,407.03,404.05,404.63,60076441
2022-08-11,404.27,407.85,403.40,407.64,62299461
2022-08-12,408.34,409.24,406.80,406.97,61768121
2022-08-15,407.52,408.41,406.55,406.83,76065046
2022-08-16,406.19,409.64,406.02,409.14,66973702
2022-08-17,409.04,409.37,405.24,406.18,62762204
2022-08-18,405.94,410.66,405.12,410.07,68984645
2022-08-19,409.73,411.08,409.38,410.14,78206778
2022-08-22,410.11,410.47,406.84,407.03,74801281
2022-08-23,407.76,408.51,404.04,404.83,60686030
2022-08-24,405.02,405.39,402.61,403.38,62239056
2022-08-25,403.25,404.57,402.36,403.38,71783453
2022-08-26,404.07,404.75,400.10,400.78,68210925
2022-08-29,400.68,404.29,400.50,403.72,77698583
2022-08-30,403.92,404.59,400.49,401.03,70954448
2022-08-31,401.32,401.38,399.72,400.17,69943636
2022-09-01,399.95,400.31,398.97,399.83,67995585
2022-09-02,400.35,401.45,395.78,396.74,64728505
2022-09-05,396.29,396.45,393.10,393.13,77852104
2022-09-06,393.52,394.40,392.91,393.19,79212816
2022-09-07,393.25,396.38,392.18,396.18,64377993
2022-09-08,396.21,397.15,392.91,393.20,67608457
2022-09-09,392.90,396.32,392.15,396.25,75736158
2022-09-12,396.29,399.95,395.65,398.92,78358149
2022-09-13,398.48,398.76,395.34,396.31,62760169
2022-09-14,395.55,399.07,394.56,398.50,72795340
2022-09-15,398.60,398.95,396.28,396.63,71426709
2022-09-16,397.10,397.81,394.47,395.04,73307893
2022-09-19,395.47,398.00,395.24,396.83,68808875
2022-09-20,396.19,399.30,396.06,398.53,72582693
2022-09-21,398.52,402.03,397.96,401.38,78716356
2022-09-22,400.79,400.81,398.40,398.67,62500531
2022-09-23,398.44,399.53,396.45,397.28,69752000
2022-09-26,398.06,400.17,397.81,398.98,79180283
2022-09-27,398.23,398.72,396.67,397.04,72225185
2022-09-28,397.17,397.49,395.27,395.89,77038578
2022-09-29,396.64,397.56,395.63,396.22,78760881
2022-09-30,396.84,399.54,395.69,399.29,67035885
2022-10-03,399.15,401.86,398.94,400.66,64029182
2022-10-04,401.33,404.68,400.87,404.05,70022075
2022-10-05,404.29,404.56,400.78,401.35,79293572
2022-10-06,400.76,403.69,399.93,402.65,72774247
2022-10-07,402.75,404.45,402.53,403.98,74937092
2022-10-10,404.42,405.44,401.28,402.25,79436777
2022-10-11,402.66,403.68,401.25,402.32,76274034
2022-10-12,402.14,403.14,398.43,398.46,72128238
2022-10-13,398.69,399.72,397.48,398.42,62290709
2022-10-14,398.46,400.03,397.27,398.95,78972021
2022-10-17,398.20,403.03,397.28,402.32,70982282
2022-10-18,401.87,406.79,400.75,406.09,63237192
2022-10-19,405.41,405.53,402.03,403.17,76163610
2022-10-20,402.81,404.92,402.26,404.67,61143284
2022-10-21,404.05,404.94,402.77,403.74,66530448
2022-10-24,403.40,406.10,402.22,405.20,75687433
2022-10-25,405.54,407.26,405.51,406.40,65833320
2022-10-26,406.87,407.21,404.96,406.02,67094432
2022-10-27,405.62,406.66,404.50,405.82,60799804
2022-10-28,406.19,407.12,404.13,404.48,74669992
2022-10-31,404.12,407.96,402.98,407.28,68401917
2022-11-01,407.51,408.10,405.47,406.06,67454652
2022-11-02,406.75,407.31,406.27,407.00,73713702
2022-11-03,407.38,407.41,402.92,403.35,79630508
2022-11-04,402.62,403.62,398.93,399.73,61440080
2022-11-07,399.89,400.14,397.38,397.85,68625073
2022-11-08,397.20,401.58,396.71,400.98,65721465
2022-11-09,400.26,404.77,399.30,404.55,66786317
2022-11-10,404.91,408.12,404.65,407.37,71529562
2022-11-11,407.12,411.41,406.32,410.25,68870073
2022-11-14,410.76,411.54,408.14,408.75,74368213
2022-11-15,408.63,411.54,408.16,410.77,74885731
2022-11-16,410.49,411.54,409.96,411.14,60579114
2022-11-17,411.35,414.10,410.81,413.41,78588281
2022-11-18,414.07,416.95,413.54,416.40,65825619
2022-11-21,416.47,420.52,416.03,420.18,63584503
2022-11-22,420.05,421.15,418.64,419.16,61788837
2022-11-23,419.95,420.95,418.63,419.33,69138251
2022-11-24,419.18,420.40,415.26,416.18,68258615
2022-11-25,416.47,420.56,415.79,420.29,63814477
2022-11-28,419.77,420.85,416.35,416.89,67137979
2022-11-29,417.63,422.05,417.50,421.18,64593842
2022-11-30,421.26,425.21,420.65,425.07,63903022
2022-12-01,425.07,426.20,423.88,423.89,69519430
2022-12-02,424.29,428.72,423.31,427.84,78271160
2022-12-05,427.42,430.45,426.56,430.19,60804274
2022-12-06,430.94,434.48,430.15,433.83,66729131
2022-12-07,433.44,434.00,430.16,431.16,70133100
2022-12-08,430.84,435.27,430.81,434.29,62658043
2022-12-09,434.26,437.38,433.85,436.73,66133870
2022-12-12,437.08,439.91,436.27,439.78,62566208
2022-12-13,440.59,441.12,436.40,437.67,73174397
2022-12-14,437.88,438.09,437.08,437.29,66901440
2022-12-15,438.10,440.44,437.49,440.19,68256494
2022-12-16,439.79,440.20,439.02,439.85,78562948
2022-12-19,439.44,444.12,438.27,442.88,76334809
2022-12-20,443.63,444.35,438.60,439.86,69068855
2022-12-21,439.69,441.63,438.77,440.32,61379673
2022-12-22,440.43,441.49,437.61,438.53,78858862
2022-12-23,438.38,439.25,437.96,438.12,78432992
2022-12-26,437.76,442.43,437.52,441.54,61922462
2022-12-27,442.03,444.49,441.76,444.31,78273400
2022-12-28,443.87,447.22,443.33,447.21,73341595
2022-12-29,447.28,451.50,446.81,450.48,68611546
2022-12-30,450.58,451.10,447.13,448.32,68922525
2023-01-02,447.99,451.02,447.99,450.70,61478636
2023-01-03,451.37,451.87,445.97,447.13,76365197
2023-01-04,446.93,447.12,445.90,446.73,63150977
2023-01-05,446.31,446.35,444.35,444.68,64879253
2023-01-06,445.29,446.10,441.13,441.98,78070490
2023-01-09,441.89,445.31,441.77,444.58,62304314
2023-01-10,444.43,444.72,442.31,442.55,69275855
2023-01-11,442.30,443.52,439.16,439.17,63128094
2023-01-12,438.99,439.32,438.48,438.82,72351093
2023-01-13,438.60,443.13,437.86,442.32,74819330
2023-01-16,442.98,445.63,442.11,445.47,65328151
2023-01-17,445.92,446.85,442.02,442.80,61103464
2023-01-18,442.65,444.40,442.31,444.18,60847153
2023-01-19,443.82,444.30,439.28,440.37,76707438
2023-01-20,441.17,442.46,436.96,437.99,76682763
2023-01-23,438.20,441.90,437.75,441.71,66185914
2023-01-24,441.48,441.85,439.20,440.07,63987203
2023-01-25,440.29,443.67,439.80,442.74,77214653
2023-01-26,443.01,443.23,438.59,438.96,76780234
2023-01-27,438.85,439.67,437.42,437.98,73697739
2023-01-30,437.47,438.13,435.44,436.09,78833536
2023-01-31,436.19,436.80,434.25,435.14,63683763
2023-02-01,434.77,435.81,434.75,435.14,72651652
2023-02-02,435.58,435.79,434.76,435.71,78922019
2023-02-03,435.45,435.85,430.71,431.74,67243823
2023-02-06,431.13,436.07,430.57,435.80,74413212
2023-02-07,435.84,435.91,434.98,435.55,64310740
2023-02-08,435.75,436.63,430.69,431.56,75020097
2023-02-09,431.95,432.29,428.15,428.75,63837424
2023-02-10,428.32,428.98,427.09,428.75,79601927
2023-02-13,429.09,429.84,425.40,426.51,77388134
2023-02-14,426.74,431.02,425.51,430.31,78722502
2023-02-15,430.44,430.84,427.36,427.53,78141383
2023-02-16,426.73,432.56,426.72,431.92,67255079
2023-02-17,431.65,436.27,430.51,435.01,78382848
2023-02-20,435.42,436.27,431.02,431.73,75668300
2023-02-21,431.60,432.04,429.98,430.81,75291114
2023-02-22,431.36,435.41,430.94,435.18,60925781
2023-02-23,435.49,436.11,431.34,432.42,71905926
2023-02-24,432.15,433.41,428.44,429.69,67267890
2023-02-27,428.89,429.20,425.95,427.22,69660766
2023-02-28,427.80,428.25,425.12,425.39,66167729
2023-03-01,426.24,427.50,423.20,424.14,69291282
2023-03-02,423.82,424.58,423.74,424.07,70964233
2023-03-03,424.47,425.35,421.76,422.48,75798289
2023-03-06,423.03,423.36,418.42,419.29,72573768
2023-03-07,419.74,420.14,415.99,416.86,67948727
2023-03-08,416.36,419.45,415.68,418.48,75767519
2023-03-09,419.16,420.15,415.08,415.46,71040175
2023-03-10,416.15,416.68,411.68,411.83,68275414
2023-03-13,411.36,414.13,410.92,412.97,70834184
2023-03-14,412.44,416.92,411.86,416.35,64938275
2023-03-15,415.53,416.49,414.55,414.95,74180895
2023-03-16,415.61,416.24,412.67,412.90,73778294
2023-03-17,412.68,413.14,410.23,411.03,65412090
2023-03-20,410.66,410.93,407.55,407.95,67693907
2023-03-21,408.70,409.73,405.55,406.70,74572016
2023-03-22,406.04,408.31,405.17,407.30,72008540
2023-03-23,406.92,408.22,405.89,407.91,71484988
2023-03-24,407.35,412.66,406.89,411.47,71813678
2023-03-27,411.11,415.40,410.84,415.25,76026013
2023-03-28,414.62,415.21,413.44,415.20,61445106
2023-03-29,414.92,416.90,414.21,416.89,77265300
2023-03-30,416.40,417.40,413.87,414.35,79017131
2023-03-31,414.76,417.96,413.75,417.63,69899765
2023-04-03,417.99,421.96,417.68,421.18,69213037
2023-04-04,421.25,421.95,417.42,418.65,73064296
2023-04-05,417.93,420.20,416.82,420.19,74990940
2023-04-06,420.98,421.49,417.58,418.39,61732738
2023-04-07,418.87,423.24,418.56,422.34,71012664
2023-04-10,422.36,426.05,422.15,425.74,61973246
2023-04-11,425.62,426.41,423.55,424.74,75939204
2023-04-12,425.15,425.51,420.94,422.00,65814852
2023-04-13,421.32,425.39,420.51,425.28,74759741
2023-04-14,424.45,425.63,421.41,421.91,76911755
2023-04-17,421.34,422.14,420.40,421.51,63532178
2023-04-18,421.35,424.29,420.80,424.19,72059048
2023-04-19,424.21,424.94,420.69,420.71,74811521
2023-04-20,420.08,421.07,419.17,419.81,63418297
2023-04-21,420.22,420.66,419.40,419.84,70128444
2023-04-24,419.47,424.06,419.32,423.47,79553528
2023-04-25,423.20,425.20,422.11,424.13,73653764
2023-04-26,424.17,425.06,420.27,421.29,77557926
2023-04-27,421.93,422.21,418.47,419.19,66145508
2023-04-28,418.75,421.92,418.70,420.86,61168688
2023-05-01,421.22,423.06,420.45,421.83,77923691
2023-05-02,421.03,421.92,419.58,419.78,78322180
2023-05-03,419.48,419.73,416.02,416.95,71453854
2023-05-04,416.90,418.38,416.70,418.30,73593743
2023-05-05,418.26,423.11,417.93,422.34,65643868
2023-05-08,421.53,423.97,420.46,423.88,63896167
2023-05-09,424.69,425.00,420.01,421.12,62669416
2023-05-10,421.52,422.62,418.87,419.36,77178035
2023-05-11,419.38,421.62,418.38,420.86,71542031
2023-05-12,421.41,425.04,420.28,424.57,71167850
2023-05-15,425.41,426.51,420.32,420.98,78219498
2023-05-16,421.59,422.47,418.87,420.11,79952024
2023-05-17,419.40,419.87,418.13,419.22,67331846
2023-05-18,419.41,422.36,418.43,422.26,67854502
2023-05-19,421.60,424.28,420.96,423.69,73057132
2023-05-22,424.48,425.14,420.01,420.68,70202979
2023-05-23,421.46,421.91,420.89,421.65,63829612
2023-05-24,422.38,422.96,421.15,421.20,76621368
2023-05-25,422.03,423.21,418.56,419.26,64898870
2023-05-26,418.60,422.34,417.53,422.24,71980344
2023-05-29,421.65,423.88,420.52,423.85,71781892
2023-05-30,423.90,426.76,422.71,425.52,60567498
2023-05-31,425.84,427.05,424.80,426.98,63861011
2023-06-01,427.55,427.89,425.05,425.62,67905799
2023-06-02,425.92,428.12,425.29,427.35,68279093
2023-06-05,427.20,431.61,426.77,430.60,69453777
2023-06-06,429.81,430.49,427.33,427.60,67369274
2023-06-07,427.42,432.38,426.63,431.63,63663003
2023-06-08,431.56,431.96,430.64,431.71,65629976
2023-06-09,432.45,432.48,428.44,429.17,76048140
2023-06-12,428.61,430.80,428.55,430.16,72216900
2023-06-13,430.99,431.70,426.98,427.60,78542033
2023-06-14,428.12,430.17,426.93,429.85,69572101
2023-06-15,430.31,431.23,428.81,428.91,61962974
2023-06-16,429.47,430.33,427.69,428.64,65646198
2023-06-19,429.22,431.57,428.23,431.11,76413498
2023-06-20,430.63,431.05,428.14,429.32,63693221
2023-06-21,429.53,430.28,425.10,425.52,62359707
2023-06-22,425.93,426.52,423.91,424.03,67328521
2023-06-23,424.20,424.44,422.44,423.03,61507356
2023-06-26,422.91,424.59,422.31,424.26,66938601
2023-06-27,424.36,424.96,423.27,424.08,68895587
2023-06-28,424.61,425.02,420.83,420.87,64117688
2023-06-29,421.19,423.59,420.58,422.98,73371402
2023-06-30,422.35,422.48,419.67,420.40,61079280
2023-07-03,420.61,421.28,420.21,420.99,60287644
2023-07-04,420.61,423.29,419.75,423.23,69451839
2023-07-05,422.56,423.31,420.66,421.81,65384456
2023-07-06,421.50,422.72,421.08,422.50,75016272
2023-07-07,423.22,424.21,422.49,424.01,79868848
2023-07-10,424.01,428.29,423.24,427.16,69278725
2023-07-11,427.09,427.11,425.43,425.80,61199235
2023-07-12,426.38,429.88,426.06,429.17,62795703
2023-07-13,429.35,429.43,424.78,425.48,69511442
2023-07-14,426.02,427.30,425.86,427.17,66379442
2023-07-17,427.42,428.63,423.64,424.11,73489907
2023-07-18,424.96,425.69,423.23,423.38,62209885
2023-07-19,424.19,425.30,423.10,424.39,79292472
2023-07-20,425.15,428.60,424.21,427.85,64965596
2023-07-21,428.49,429.10,424.30,424.59,79379343
2023-07-24,424.97,425.22,421.18,422.40,70859323
2023-07-25,421.97,423.82,421.08,423.73,62276506
2023-07-26,423.37,424.37,420.21,420.96,67424912
2023-07-27,421.05,424.23,421.04,423.08,76921046
2023-07-28,422.74,425.52,421.94,424.78,66550674
2023-07-31,424.03,425.04,423.15,424.42,73790529
2023-08-01,424.93,425.40,422.14,422.75,65090274
2023-08-02,423.16,424.06,418.96,419.51,77010772
2023-08-03,418.82,422.24,418.12,422.13,68905622
2023-08-04,421.93,421.99,419.65,420.52,64566037
2023-08-07,420.84,424.55,420.22,424.09,74907205
2023-08-08,424.30,425.16,424.13,424.45,75102844
2023-08-09,423.97,426.48,423.25,426.19,69055713
2023-08-10,426.79,428.11,425.99,427.73,67123316
2023-08-11,427.91,428.76,425.67,426.32,63874788
2023-08-14,426.68,428.09,426.50,427.34,77106140
2023-08-15,427.74,427.81,424.61,425.83,64298110
2023-08-16,425.20,425.73,424.13,424.88,64772903
2023-08-17,425.05,426.29,425.01,426.00,73135021
2023-08-18,425.65,426.85,423.74,424.34,63834785
2023-08-21,423.73,424.50,421.00,422.10,64587294
2023-08-22,421.99,422.47,420.26,420.41,62609241
2023-08-23,420.45,423.07,419.49,421.95,63585605
2023-08-24,422.51,423.56,419.86,420.43,68388515
2023-08-25,421.03,424.03,420.04,424.02,67737700
2023-08-28,424.53,425.17,423.35,424.03,69871515
2023-08-29,423.36,423.62,419.14,420.30,74891181
2023-08-30,420.60,421.63,420.05,420.93,70837741
2023-08-31,420.90,421.29,419.41,420.01,70212293
2023-09-01,419.41,420.51,418.33,419.18,73046687
2023-09-04,419.07,419.84,418.36,419.25,79767995
2023-09-05,418.49,423.19,418.48,422.08,64588291
2023-09-06,421.91,422.69,420.59,421.06,70372080
2023-09-07,421.49,423.99,421.29,423.24,69089703
2023-09-08,422.46,422.54,419.49,419.55,65417004
2023-09-11,419.48,420.41,417.43,418.28,78800845
2023-09-12,418.57,419.71,415.23,415.38,71061556
2023-09-13,415.10,415.50,410.83,411.93,78135898
2023-09-14,411.69,411.70,410.32,411.07,63980417
2023-09-15,411.20,412.78,410.00,412.14,71240058
2023-09-18,412.46,413.43,408.33,408.65,78405094
2023-09-19,407.95,408.54,406.56,407.74,65080587
2023-09-20,408.02,408.83,407.34,407.58,63896678
2023-09-21,407.99,408.96,404.27,404.92,75928365
2023-09-22,405.01,409.11,404.70,408.03,63689267
2023-09-25,407.24,410.57,406.49,410.18,69400843
2023-09-26,409.96,411.09,406.44,407.61,64028884
2023-09-27,406.99,408.15,405.30,405.68,79979482
2023-09-28,405.80,410.16,404.75,409.64,65206111
2023-09-29,409.05,412.47,408.90,411.53,72594458
2023-10-02,411.86,415.51,411.55,414.71,62441638
2023-10-03,415.01,416.31,413.92,415.67,73986583
2023-10-04,414.97,418.23,414.48,417.00,76932325
2023-10-05,416.81,421.00,416.29,420.01,62611100
2023-10-06,420.40,422.61,419.64,421.43,61701346
2023-10-09,422.23,423.12,416.77,417.84,70340179
2023-10-10,418.23,419.20,416.13,417.22,60919403
2023-10-11,416.58,419.30,415.43,418.17,64650649
2023-10-12,418.50,419.09,415.65,416.02,62574941
2023-10-13,416.85,417.86,412.20,412.62,73850668
2023-10-16,412.60,412.83,411.73,412.78,70269717
2023-10-17,412.27,416.11,411.69,415.77,77703727
2023-10-18,415.85,416.03,412.08,412.93,68002059
2023-10-19,413.73,414.30,410.17,410.30,79050587
2023-10-20,410.47,413.16,409.96,412.27,79573520
2023-10-23,411.79,412.92,408.72,408.93,66209410
2023-10-24,409.50,409.66,408.02,408.07,69215638
2023-10-25,408.02,408.17,403.84,404.75,78551547
2023-10-26,405.15,405.37,404.11,405.26,69681898
2023-10-27,406.06,408.11,405.60,407.21,66205136
2023-10-30,407.55,411.15,407.33,410.83,75885964
2023-10-31,410.77,415.16,409.92,414.17,76830847
2023-11-01,414.17,417.36,413.78,416.97,63690661
2023-11-02,417.70,418.71,417.29,417.70,75343786
2023-11-03,417.06,417.67,416.79,417.44,62163152
2023-11-06,416.86,419.75,416.30,419.71,73822788
2023-11-07,419.66,423.78,418.60,423.31,61010161
2023-11-08,423.01,425.77,423.01,425.70,66152971
2023-11-09,425.19,427.05,424.60,426.69,70493061
2023-11-10,427.29,428.05,426.71,426.98,72689669
2023-11-13,426.47,428.79,426.46,427.99,66396057
2023-11-14,427.40,428.35,426.14,426.73,71911489
2023-11-15,427.21,428.19,423.13,423.54,65081653
2023-11-16,423.72,428.15,422.99,426.97,76147469
2023-11-17,426.35,429.55,425.33,428.30,60816014
2023-11-20,428.59,431.53,428.00,430.49,64517981
2023-11-21,431.11,431.17,427.26,428.42,76882783
2023-11-22,428.19,429.32,427.86,428.23,65721217
2023-11-23,428.83,429.77,425.95,426.12,71027339
2023-11-24,425.31,425.34,424.76,425.03,73726772
2023-11-27,424.73,427.11,423.84,426.81,71984431
2023-11-28,427.48,427.80,423.27,424.53,68305053
2023-11-29,424.89,425.77,423.04,423.75,64740555
2023-11-30,423.55,423.62,423.34,423.55,67125895
2023-12-01,423.49,424.11,423.23,423.84,65268371
2023-12-04,423.78,427.15,423.44,426.38,64401976
2023-12-05,426.05,426.16,425.12,425.23,68243915
2023-12-06,425.81,426.74,425.07,426.02,60232309
2023-12-07,426.38,426.76,422.66,423.84,71218273
2023-12-08,423.87,423.89,420.43,421.09,62418269
2023-12-11,421.38,422.08,417.51,417.62,73363847
2023-12-12,417.49,420.81,417.20,419.64,76079298
2023-12-13,419.06,421.45,418.17,420.63,73751251
2023-12-14,420.15,420.75,416.57,417.40,73387631
2023-12-15,417.90,417.93,413.58,413.76,70636346
2023-12-18,414.09,414.47,413.60,414.15,63671065
2023-12-19,413.43,414.38,412.12,412.76,66947837
2023-12-20,412.30,416.69,411.10,416.29,70499979
2023-12-21,416.01,417.21,413.54,414.67,75564293
2023-12-22,413.86,416.27,413.73,415.80,74679506
2023-12-25,415.49,415.95,411.31,411.94,68555406
2023-12-26,411.97,415.74,411.87,415.01,67809944
